Topo id, Rack count, Servers per rack, Effective load, Sheduler,Servers energy,Total energy,Task count
2,4,16,35.3,BestDENS,83.8,249.1,19625
2,4,16,35.8,HEROS,87.8,253.1,19625
2,4,16,35.3,RoundRobin,152.4,317.7,19625
2,4,16,35.4,Random,151.4,316.7,19625
2,4,16,44.0,Green,104.2,269.5,24531
2,4,16,44.2,BestDENS,104.9,270.2,24531
2,4,16,44.7,HEROS,109.7,275.0,24531
2,4,16,44.1,RoundRobin,162.4,327.7,24531
2,4,16,44.3,Random,162.6,327.9,24531
2,4,16,52.8,Green,124.9,290.2,29437
2,4,16,52.9,BestDENS,125.5,290.8,29437
2,4,16,53.8,HEROS,131.3,296.6,29437
2,4,16,52.9,RoundRobin,173.4,338.7,29437
2,4,16,53.2,Random,173.4,338.7,29437
2,4,16,61.6,Green,145.8,311.1,34343
2,4,16,61.8,BestDENS,146.7,312.0,34343
2,4,16,62.7,HEROS,153.2,318.5,34343
2,4,16,61.8,RoundRobin,184.1,349.4,34343
2,4,16,62.2,Random,184.0,349.3,34343
2,4,16,70.4,Green,166.7,332.0,39250
2,4,16,70.5,BestDENS,167.5,332.8,39250
2,4,16,71.7,HEROS,174.6,339.9,39250
2,4,16,70.6,RoundRobin,195.4,360.7,39250
2,4,16,71.0,Random,194.5,359.8,39250
2,4,16,79.2,Green,187.8,353.1,44156
2,4,16,79.4,BestDENS,188.8,354.1,44156
2,4,16,80.6,HEROS,196.4,361.7,44156
2,4,16,79.4,RoundRobin,206.1,371.4,44156
2,4,16,79.3,Random,204.5,369.8,44156
